Soy el rank 0, empiezo en 0 y mi tamaño es 290
Soy el rank 3, empiezo en 870 y mi tamaño es 290
Soy el rank 2, empiezo en 580 y mi tamaño es 290
El tamaño total es 1160
Soy el rank 1, empiezo en 290 y mi tamaño es 290
6 1 0 Valor de food_to_share: 0.000000, posiciones: 22.349689 (row) , 9.487494 (col) 
6 0 1 Valor de food_to_share: 0.000000, posiciones: 1.059770 (row) , 21.942081 (col) 
6 0 2 Valor de food_to_share: 0.000000, posiciones: 1.059770 (row) , 21.942081 (col) 
6 1 2 Valor de food_to_share: 0.000000, posiciones: 22.349689 (row) , 9.487494 (col) 
6 2 2 Valor de food_to_share: 0.000000, posiciones: 24.838675 (row) , 32.710728 (col) 
6 3 2 Valor de food_to_share: 0.000000, posiciones: 5.919498 (row) , 21.366783 (col) 
6 4 2 Valor de food_to_share: 0.000000, posiciones: 12.230797 (row) , 11.568002 (col) 
6 0 3 Valor de food_to_share: 0.000000, posiciones: 1.059770 (row) , 21.942081 (col) 
6 1 3 Valor de food_to_share: 0.000000, posiciones: 22.349689 (row) , 9.487494 (col) 
6 2 3 Valor de food_to_share: 0.000000, posiciones: 24.838675 (row) , 32.710728 (col) 
6 3 3 Valor de food_to_share: 0.000000, posiciones: 5.919498 (row) , 21.366783 (col) 
6 4 3 Valor de food_to_share: 0.000000, posiciones: 12.230797 (row) , 11.568002 (col) 
6 5 3 Valor de food_to_share: 0.000000, posiciones: 7.488074 (row) , 34.450413 (col) 
6 2 0 Valor de food_to_share: 0.000000, posiciones: 24.838675 (row) , 32.710728 (col) 
6 3 0 Valor de food_to_share: 0.000000, posiciones: 5.919498 (row) , 21.366783 (col) 
6 4 0 Valor de food_to_share: 0.000000, posiciones: 12.230797 (row) , 11.568002 (col) 
6 5 0 Valor de food_to_share: 0.000000, posiciones: 7.488074 (row) , 34.450413 (col) 
6 6 0 Valor de food_to_share: 0.000000, posiciones: 21.006557 (row) , 33.219360 (col) 
6 7 0 Valor de food_to_share: 0.000000, posiciones: 17.396439 (row) , 7.598742 (col) 
6 5 2 Valor de food_to_share: 0.000000, posiciones: 7.488074 (row) , 34.450413 (col) 
6 6 2 Valor de food_to_share: 0.000000, posiciones: 21.006557 (row) , 33.219360 (col) 
6 7 2 Valor de food_to_share: 0.000000, posiciones: 17.396439 (row) , 7.598742 (col) 
6 6 3 Valor de food_to_share: 0.000000, posiciones: 21.006557 (row) , 33.219360 (col) 
6 7 3 Valor de food_to_share: 0.000000, posiciones: 17.396439 (row) , 7.598742 (col) 
6 1 1 Valor de food_to_share: 0.000000, posiciones: 22.349689 (row) , 9.487494 (col) 
6 2 1 Valor de food_to_share: 0.000000, posiciones: 24.838675 (row) , 32.710728 (col) 
6 3 1 Valor de food_to_share: 0.000000, posiciones: 5.919498 (row) , 21.366783 (col) 
6 4 1 Valor de food_to_share: 0.000000, posiciones: 12.230797 (row) , 11.568002 (col) 
6 5 1 Valor de food_to_share: 0.000000, posiciones: 7.488074 (row) , 34.450413 (col) 
6 6 1 Valor de food_to_share: 0.000000, posiciones: 21.006557 (row) , 33.219360 (col) 
6 7 1 Valor de food_to_share: 0.000000, posiciones: 17.396439 (row) , 7.598742 (col) 
7 0 0 Valor de food_to_share: 0.000000, posiciones: 1.307245 (row) , 22.910976 (col) 
